,Id,degree,group
0,1264929348,5003,13
1,800699811234123777,4382,10
2,1333788525444038662,4240,1
3,175315451,3401,7
4,993737466,2482,0
5,1260606917874978816,1073,12
6,3909383121,1042,2
7,3564624027,772,5
8,1487018678,550,11
9,1054920708,466,6
10,1331460122296643586,318,9
11,1242084311991492613,312,4
12,777603066,284,8
13,4850697646,212,3
14,1397165800662966272,37,4
15,1130387273168502784,14,2
16,280981604,4,4
17,320662182,3,8
18,117685967,3,5
19,2764702318,3,0
20,623140316,3,8
21,382127385,3,2
22,4256915812,3,3
23,2232884249,3,12
24,722483026219909120,3,2
25,856355018,3,3
26,1461457537,3,5
27,1019951192,3,2
28,1119143388,3,5
29,3117608441,3,0
30,300883126,3,3
31,1083007519,3,0
32,791813070,3,2
33,589420242,3,3
34,3226480198,3,3
35,1017794457851301888,3,3
36,1020400320583749632,3,3
37,820309675245760512,3,5
38,290663751,3,5
39,2282630502,3,5
40,1026503517673062400,3,5
41,761644478,3,5
42,3115846995,3,5
43,249592023,3,6
44,768906440572624901,3,6
45,871326929059815425,3,4
46,2975630573,3,11
47,869244315310149632,3,12
48,3385628419,2,0
49,897679240673599488,2,0
50,269696041,2,5
51,2638220722,2,0
52,816992728106102784,2,6
53,555897142,2,12
54,1685233412,2,2
55,608749799,2,5
56,1364999868,2,11
57,2688559560,2,0
58,621870467,2,0
59,3751688667,2,3
60,1923562046,2,3
61,482795226,2,2
62,2766576637,2,12
63,2229928940,2,0
64,2745968629,2,0
65,2623464684,2,0
66,575157136,2,0
67,1269083960,2,0
68,2723865479,2,3
69,308501802,2,11
70,1037413873,2,0
71,272150853,2,0
72,389437594,2,0
73,282131387,2,12
74,434026944,2,0
75,3084322857,2,0
76,730076290741616640,2,0
77,2470740873,2,0
78,499184922,2,9
79,3241535334,2,0
80,1122244574,2,2
81,1193035566,2,0
82,629299578,2,12
83,4905126046,2,5
84,1595400326,2,0
85,459074021,2,0
86,4546675289,2,0
87,2290316231,2,2
88,3523842856,2,0
89,130897447,2,0
90,2250037874,2,0
91,340565625,2,6
92,2250087557,2,2
93,449602635,2,2
94,828822811,2,0
95,4414429641,2,0
96,1292125080,2,2
97,71555146,2,0
98,553810148,2,0
99,475690853,2,2
100,3405749656,2,5
101,971456946,2,0
102,1930534153,2,0
103,1322018136,2,0
104,714026316,2,2
105,2486206109,2,2
106,182563258,2,0
107,2850179735,2,2
108,2603199853,2,2
109,253147891,2,2
110,81276697,2,8
111,445437861,2,0
112,150541308,2,0
113,283996170,2,2
114,2264743332,2,0
115,241097281,2,2
116,3323264561,2,0
117,176773652,2,8
118,2503911360,2,0
119,1380159894,2,2
120,3365458972,2,0
121,2956508049,2,0
122,539963026,2,2
123,3378596523,2,2
124,3267169825,2,0
125,423414250,2,2
126,2678430718,2,2
127,243769015,2,5
128,324558468,2,2
129,1131273776,2,2
130,255648275,2,2
131,430441968,2,2
132,38737371,2,2
133,2513424686,2,2
134,247680771,2,0
135,1466712313,2,2
136,600057061,2,2
137,1083674186,2,2
138,1657628696,2,0
139,1002233305,2,0
140,170234710,2,0
141,115337990,2,5
142,154876973,2,3
143,3427898085,2,0
144,281162637,2,2
145,616157537,2,2
146,1735095067,2,0
147,1055513960,2,0
148,325160785,2,2
149,1010625414,2,2
150,359805752,2,2
151,429353490,2,0
152,1384413105401237505,2,1
153,1055168948327669760,2,1
154,296771582,2,12
155,1391018413007544325,2,1
156,846642434616561664,2,11
157,1224832026672599046,2,12
158,1603045058,2,5
159,1041560905916530688,2,1
160,717970910943309824,2,2
161,1252904814977200128,2,3
162,3344980839,2,3
163,749684783677046784,2,3
164,1129668235220144128,2,3
165,2871088967,2,3
166,3291027020,2,3
167,1268618550014627840,2,3
168,2334107081,2,3
169,610863994,2,3
170,196606576,2,3
171,595421415,2,3
172,1336935850547044352,2,4
173,925249689636786176,2,4
174,34893956,2,4
175,2276382875,2,4
176,2792728687,2,4
177,270482787,2,4
178,372658955,2,4
179,1251889072341159946,2,4
180,581133991,2,4
181,1226941372005068811,2,4
182,1213116606651326465,2,5
183,537091402,2,5
184,1368625635904675842,2,5
185,355385348,2,5
186,3547473987,2,5
187,773046174706262016,2,5
188,4182954372,2,5
189,577296236,2,5
190,749681464854323200,2,5
191,1191732611250610176,2,5
192,1690132748,2,5
193,489508463,2,5
194,840500732612743168,2,5
195,962820115128619011,2,5
196,2865501246,2,5
197,1883365681,2,5
198,80875164,2,5
199,991706569766244352,2,5
200,1323196116,2,5
201,700665010750681088,2,5
202,624880440,2,5
203,879393210497478657,2,5
204,3295593122,2,5
205,396019049,2,5
206,2413095144,2,5
207,2401513494,2,5
208,992886834,2,5
209,1588736228,2,5
210,2295701460,2,5
211,43093925,2,5
212,1027428421993988097,2,5
213,716837382331432960,2,5
214,1123898694431051777,2,5
215,2748288857,2,5
216,3259749531,2,5
217,322480336,2,5
218,3197672223,2,5
219,1847277350,2,5
220,1084954723,2,5
221,1013506656179752960,2,5
222,1593131269,2,5
223,927256356,2,5
224,597333452,2,5
225,874273577771642881,2,8
226,1168283322,2,5
227,358614438,2,5
228,487307800,2,5
229,1150358659,2,5
230,2822487879,2,5
231,1291061156,2,5
232,847067894609592320,2,5
233,470851479,2,5
234,2730590265,2,5
235,316434953,2,5
236,2891949165,2,6
237,2536706751,2,5
238,4235445087,2,5
239,1492536793,2,5
240,973077014633730048,2,5
241,2409239626,2,5
242,986503727354871808,2,5
243,3254485203,2,5
244,985200075466035200,2,5
245,476446255,2,5
246,925334510069276672,2,5
247,776383733620469760,2,6
248,2782303403,2,6
249,482080691,2,8
250,2324171050,2,6
251,1260557337368104961,2,8
252,1312835092293746689,2,6
253,909829790,2,6
254,1237823733689192448,2,6
255,980925102119374848,2,6
256,480514493,2,6
257,556893769,2,6
258,2744770787,2,6
259,388947756,2,6
260,931958736,2,6
261,3384093267,2,6
262,1095764385178574850,2,6
263,944394416,2,6
264,117559125,2,6
265,787252942063669248,2,6
266,4836558233,2,6
267,909762993206030336,2,6
268,4598432301,2,6
269,924174809478713345,2,6
270,1215955514,2,6
271,244006530,2,6
272,3244695305,2,6
273,283936005,2,6
274,35539866,2,4
275,615328000,2,4
276,2316764969,2,4
277,2774029489,2,4
278,925123358,2,4
279,302506608,2,4
280,905723718,2,4
281,3393291754,2,4
282,93008329,2,4
283,181702647,2,4
284,749637259603931136,2,4
285,735771535185563648,2,4
286,1399232784,2,4
287,2370512812,2,4
288,149122336,2,4
289,1015353895,2,8
290,1313178583,2,4
291,93809560,2,4
292,2949323596,2,8
293,1015948808,2,8
294,1219481886,2,8
295,997874794208129026,2,8
296,459057429,2,8
297,4909398137,2,8
298,172329782,2,8
299,3234850410,2,8
300,324016088,2,8
301,564174043,2,8
302,1453493251,2,8
303,2739756963,2,8
304,1123897754462375937,2,9
305,1149340698258399233,2,9
306,1210254370941677569,2,9
307,935810657311690753,2,9
308,1159878166154010626,2,9
309,1065163390727921664,2,9
310,2867058472,2,9
311,308414825,2,2
312,1158339632133746690,2,11
313,2628067527,2,2
314,974700074910519298,2,2
315,126230615,2,2
316,322585833,2,2
317,939057567199907840,2,2
318,965908745506222080,2,2
319,1001209668,2,2
